PopID,Pop,City,Urban,Distance,Trial,Monarchs,Rhysomatus,Myzocallis,Euchaetes,Lygaeus,Oncopeltus,Tetraopes,Leaf_Beetle,Fly,Abundance ,Diversity,Average_Leaf_Herbivory,Height_Scars_cm
AS012,5,Toronto,urban,21.58,Late,0,0,0,0,0,0,0,0,0,0,0,18.5,0
AS012,5,Toronto,urban,21.58,Late,0,0,0,0,0,0,0,0,0,0,0,14.9,0
AS012,5,Toronto,urban,21.58,Late,0,0,0,0,0,0,0,0,0,0,0,17.1,0
AS012,5,Toronto,urban,21.58,Late,0,0,0,0,0,0,0,0,0,0,0,22.5,0
AS014,6,Toronto,urban,25.05,Late,0,0,0,0,0,0,0,0,0,0,1,10.6,0
AS014,6,Toronto,urban,25.05,Late,0,0,0,0,0,0,1,0,1,2,2,20.7,0
AS014,6,Toronto,urban,25.05,Late,0,0,0,0,0,0,1,0,2,3,2,12.4,0
AS014,6,Toronto,urban,25.05,Late,0,0,0,1,0,0,0,0,1,2,3,9.1,0
AS014,6,Toronto,urban,25.05,Late,0,0,0,0,0,0,2,0,2,4,2,8.3,0
AS020,8,Toronto,rural,30.32,Late,0,0,0,0,0,0,0,0,0,0,0,1.3,0
AS020,8,Toronto,rural,30.32,Late,0,0,0,0,0,0,0,0,0,0,0,4.2,0
AS020,8,Toronto,rural,30.32,Late,0,0,0,0,0,0,0,0,0,0,0,5.4,0
AS020,8,Toronto,rural,30.32,Late,0,0,0,0,0,0,0,0,1,1,1,0.7,0
AS020,8,Toronto,rural,30.32,Late,1,0,0,0,0,0,0,0,0,1,1,3.7,0
AS021,9,Toronto,rural,27.94,Late,0,0,0,0,0,0,0,0,0,0,0,2.3,0
AS021,9,Toronto,rural,27.94,Late,0,0,0,0,0,0,0,0,0,0,0,32.3,0
AS021,9,Toronto,rural,27.94,Late,0,0,0,0,0,0,0,0,1,1,1,3.6,0
AS021,9,Toronto,rural,27.94,Late,0,0,0,0,0,0,0,0,0,0,0,3.7,0
AS021,9,Toronto,rural,27.94,Late,0,0,0,0,0,0,0,0,0,0,0,0.9,0
AS024,10,Toronto,urban,13.68,Late,0,0,0,0,0,0,0,0,0,0,0,3.9,0
AS024,10,Toronto,urban,13.68,Late,0,0,0,0,0,0,0,0,0,0,0,0.5,0
AS024,10,Toronto,urban,13.68,Late,0,0,0,0,0,0,0,0,2,2,1,1.1,0
AS024,10,Toronto,urban,13.68,Late,1,0,0,0,0,0,0,0,0,1,1,0.4,0
AS024,10,Toronto,urban,13.68,Late,0,0,0,0,0,0,0,0,0,0,0,2.2,0
AS025,11,Toronto,urban,15.68,Late,1,0,0,0,0,0,0,0,0,1,1,1.1,0
AS025,11,Toronto,urban,15.68,Late,1,0,0,0,0,0,0,0,0,1,1,27.3,0
AS025,11,Toronto,urban,15.68,Late,0,0,0,0,0,0,0,0,1,1,1,1.2,0
AS025,11,Toronto,urban,15.68,Late,0,0,0,0,0,0,0,0,0,0,0,1.1,0
AS025,11,Toronto,urban,15.68,Late,0,0,0,0,0,0,0,0,2,2,1,2.8,0
AS026,12,Toronto,urban,9.89,Late,1,0,0,0,0,0,0,0,0,1,1,1.2,0
AS026,12,Toronto,urban,9.89,Late,0,0,0,0,0,0,0,0,0,0,0,1.5,0
AS028,13,Toronto,urban,5.98,Late,0,0,0,0,0,0,0,0,3,3,1,0.8,0
AS028,13,Toronto,urban,5.98,Late,0,0,0,0,0,0,0,0,1,1,1,0.4,0
AS028,13,Toronto,urban,5.98,Late,0,0,0,0,0,0,1,0,0,1,1,2.6,0
AS028,13,Toronto,urban,5.98,Late,0,0,0,0,0,0,1,0,0,1,1,1,0
AS028,13,Toronto,urban,5.98,Late,0,0,0,0,0,0,0,0,0,0,0,10.3,0
AS029,14,Toronto,urban,8.65,Late,0,0,0,0,0,0,0,0,4,4,1,3.4,0
AS029,14,Toronto,urban,8.65,Late,0,0,0,0,0,0,1,0,2,3,2,8.5,0
AS029,14,Toronto,urban,8.65,Late,0,0,0,0,0,0,0,0,1,1,1,1.5,0
AS029,14,Toronto,urban,8.65,Late,0,0,0,0,0,0,1,0,2,3,2,1.2,0
AS029,14,Toronto,urban,8.65,Late,0,0,0,0,0,0,0,0,0,0,0,2.3,0
AS031,15,Toronto,rural,25.78,Late,0,0,0,0,0,0,1,0,0,1,1,1.6,0
AS031,15,Toronto,rural,25.78,Late,0,0,0,0,0,0,2,0,0,2,1,1.5,0
AS031,15,Toronto,rural,25.78,Late,0,0,0,0,0,0,0,0,0,0,0,1.8,0
AS031,15,Toronto,rural,25.78,Late,0,0,0,0,0,0,0,0,0,0,0,1.6,0
AS031,15,Toronto,rural,25.78,Late,0,0,0,0,0,0,0,0,0,0,0,0.8,0
AS032,16,Toronto,rural,33.19,Late,0,0,0,0,0,0,0,0,0,0,0,5.5,0
AS032,16,Toronto,rural,33.19,Late,0,0,0,0,0,0,0,0,1,1,1,2.1,0
AS032,16,Toronto,rural,33.19,Late,0,0,0,0,0,0,0,0,0,0,0,1,0
AS032,16,Toronto,rural,33.19,Late,0,0,0,0,0,0,0,0,0,0,0,14,0
AS032,16,Toronto,rural,33.19,Late,0,0,0,0,0,0,0,0,1,1,1,8.5,0
AS033,17,Toronto,rural,34.41,Late,0,0,0,0,0,0,1,0,15,16,2,2,0
AS034,18,Toronto,rural,32.77,Late,0,0,0,0,0,0,0,0,1,1,1,10.1,0
AS034,18,Toronto,rural,32.77,Late,0,0,0,0,0,0,0,0,0,0,0,0.8,0
AS034,18,Toronto,rural,32.77,Late,0,0,0,0,0,0,0,0,4,4,1,3.1,0
AS034,18,Toronto,rural,32.77,Late,0,0,0,0,0,0,0,0,0,0,0,3.7,0
AS034,18,Toronto,rural,32.77,Late,0,0,0,0,0,0,0,0,1,1,1,5.7,0
AS035,19,Toronto,rural,35.42,Late,0,0,0,0,0,0,0,0,2,2,1,3.4,0
AS035,19,Toronto,rural,35.42,Late,0,0,0,0,0,0,0,0,0,0,0,11,0
AS035,19,Toronto,rural,35.42,Late,1,0,0,0,0,0,0,0,0,1,1,2,0
AS035,19,Toronto,rural,35.42,Late,0,0,0,50,0,0,0,0,0,50,1,17.3,0
AS035,19,Toronto,rural,35.42,Late,5,0,0,0,0,0,0,0,0,5,1,11.7,0
AS036,20,Toronto,rural,35.98,Late,1,0,0,0,0,0,0,0,0,1,1,19,0
AS036,20,Toronto,rural,35.98,Late,1,0,0,0,0,0,0,0,0,1,1,8.2,0
AS036,20,Toronto,rural,35.98,Late,3,0,0,0,0,0,0,0,0,3,1,14.1,0
AS036,20,Toronto,rural,35.98,Late,1,0,0,0,0,0,0,0,0,1,1,10.4,0
AS036,20,Toronto,rural,35.98,Late,1,0,0,1,0,0,0,0,0,2,2,1.2,0
AS037,21,Toronto,rural,37.66,Late,2,0,0,0,0,0,0,1,0,3,2,18.8,0
AS037,21,Toronto,rural,37.66,Late,0,0,0,0,0,0,0,0,0,0,0,33.3,0
AS037,21,Toronto,rural,37.66,Late,0,0,0,0,0,0,0,0,0,0,0,3,0
AS037,21,Toronto,rural,37.66,Late,1,0,0,0,0,0,0,1,0,2,2,29,0
AS039,22,Toronto,urban,5.42,Late,0,0,0,0,0,0,0,0,4,4,1,1.9,0
AS039,22,Toronto,urban,5.42,Late,0,0,0,0,0,0,0,0,1,1,1,13.3,0
AS039,22,Toronto,urban,5.42,Late,0,0,0,0,0,0,0,0,6,6,1,2,0
AS039,22,Toronto,urban,5.42,Late,0,0,0,0,0,0,0,0,7,7,1,3.7,0
AS039,22,Toronto,urban,5.42,Late,0,0,0,0,0,0,0,0,5,5,1,0.7,0
AS040,23,Toronto,urban,5.82,Late,0,0,0,0,0,0,0,0,1,1,1,31.3,0
AS040,23,Toronto,urban,5.82,Late,0,0,0,0,0,0,0,0,0,0,0,22,0
AS040,23,Toronto,urban,5.82,Late,0,0,0,0,0,0,0,0,1,1,2,12.6,0
AS040,23,Toronto,urban,5.82,Late,0,0,0,0,0,0,0,0,1,1,1,22.9,0
AS040,23,Toronto,urban,5.82,Late,1,0,0,0,0,0,0,0,0,1,1,19.2,0
AS041,24,Toronto,urban,5.7,Late,2,0,0,0,0,0,0,0,0,2,1,0.6,0
AS041,24,Toronto,urban,5.7,Late,1,0,0,0,0,0,0,0,0,1,1,1.1,0
AS041,24,Toronto,urban,5.7,Late,0,0,0,0,0,0,0,0,0,0,0,0.7,0
AS041,24,Toronto,urban,5.7,Late,1,0,0,0,0,0,0,0,0,1,1,0.4,0
AS041,24,Toronto,urban,5.7,Late,0,0,0,0,0,0,0,0,0,0,0,0.7,0
AS042,25,Toronto,urban,6.17,Late,0,0,0,0,0,0,0,0,3,3,1,0.6,0
AS042,25,Toronto,urban,6.17,Late,0,0,0,0,0,0,0,0,2,2,1,0.2,0
AS042,25,Toronto,urban,6.17,Late,0,0,0,0,0,0,0,0,2,2,1,1.8,0
AS042,25,Toronto,urban,6.17,Late,0,0,0,0,0,0,0,0,0,0,0,1.4,0
AS042,25,Toronto,urban,6.17,Late,0,0,0,0,0,0,0,0,1,1,1,0.8,0
AS043,26,Toronto,urban,7.4,Late,0,0,0,0,0,0,0,0,0,0,0,0.6,0
AS043,26,Toronto,urban,7.4,Late,1,0,0,0,0,0,0,0,3,4,2,0.8,0
AS043,26,Toronto,urban,7.4,Late,0,0,0,0,0,0,0,0,0,0,1,1,0
AS043,26,Toronto,urban,7.4,Late,0,0,0,0,0,0,0,0,0,0,0,0.6,0
AS043,26,Toronto,urban,7.4,Late,0,0,0,0,0,0,0,0,0,0,0,2,0
AS044,27,Toronto,urban,7.79,Late,1,0,0,0,0,0,0,0,4,5,2,1.3,0
AS044,27,Toronto,urban,7.79,Late,0,0,0,0,0,0,0,0,2,2,1,1.9,0
AS044,27,Toronto,urban,7.79,Late,0,0,0,0,0,0,0,0,0,0,0,0,0
AS044,27,Toronto,urban,7.79,Late,0,0,0,0,0,0,0,0,6,6,1,1.5,0
AS044,27,Toronto,urban,7.79,Late,0,0,0,0,0,0,0,0,2,2,1,0.5,0
AS046,28,Toronto,rural,39.03,Late,0,0,0,1,0,0,1,0,0,2,2,4.7,0
AS046,28,Toronto,rural,39.03,Late,0,0,0,1,0,0,0,0,0,1,1,37.5,0
AS046,28,Toronto,rural,39.03,Late,1,0,0,0,0,0,0,0,0,1,1,12,0
AS046,28,Toronto,rural,39.03,Late,0,0,0,0,0,0,0,0,0,0,0,5,0
AS046,28,Toronto,rural,39.03,Late,0,0,0,0,0,0,0,0,0,0,0,15.5,0
AS047,29,Toronto,rural,39.49,Late,0,0,0,0,0,0,0,0,2,2,1,12.9,0
AS047,29,Toronto,rural,39.49,Late,0,0,0,0,0,0,0,0,0,0,0,5.2,0
AS047,29,Toronto,rural,39.49,Late,0,0,0,0,0,0,0,0,0,0,0,0.3,0
AS047,29,Toronto,rural,39.49,Late,0,0,0,0,0,0,0,0,2,2,1,9.2,0
AS047,29,Toronto,rural,39.49,Late,0,0,0,0,0,0,0,0,0,0,0,3.3,0
AS048,30,Toronto,rural,41.74,Late,0,0,0,0,0,0,0,0,0,0,0,10.6,0
AS048,30,Toronto,rural,41.74,Late,0,0,0,0,0,0,0,0,0,0,0,4.6,0
AS048,30,Toronto,rural,41.74,Late,0,0,0,0,0,0,0,0,1,1,1,15.7,0
AS048,30,Toronto,rural,41.74,Late,0,0,0,0,0,0,0,0,0,0,0,4.1,0
AS048,30,Toronto,rural,41.74,Late,0,0,0,0,0,0,0,0,0,0,0,8.7,0
AS049,31,Toronto,rural,40.74,Late,0,0,0,0,0,0,0,0,0,0,0,13.2,0
AS049,31,Toronto,rural,40.74,Late,0,0,0,0,0,0,0,0,0,0,0,4.1,0
AS049,31,Toronto,rural,40.74,Late,0,0,0,0,0,0,0,0,0,0,0,1.5,0
AS049,31,Toronto,rural,40.74,Late,0,0,0,0,0,0,0,0,0,0,0,2.5,0
AS049,31,Toronto,rural,40.74,Late,0,0,0,0,0,0,0,0,0,0,0,12.7,0
AS050,32,Toronto,urban,8.73,Late,5,0,0,0,0,0,0,0,1,6,2,1.5,0
AS050,32,Toronto,urban,8.73,Late,0,0,0,0,0,0,0,0,13,13,1,1.6,0
AS050,32,Toronto,urban,8.73,Late,0,0,0,0,0,0,0,0,4,4,1,1.7,0
AS050,32,Toronto,urban,8.73,Late,0,0,0,0,0,0,0,0,3,3,1,0.1,0
AS050,32,Toronto,urban,8.73,Late,0,0,0,0,0,0,0,0,3,3,1,5.4,0
AS051,33,Toronto,urban,8.97,Late,0,0,0,0,0,2,0,0,8,10,2,1.7,0
AS051,33,Toronto,urban,8.97,Late,0,0,0,0,0,0,1,0,0,1,1,7.7,0
AS051,33,Toronto,urban,8.97,Late,0,0,0,0,0,0,0,0,3,3,1,4.1,0
AS051,33,Toronto,urban,8.97,Late,0,0,0,0,0,0,0,0,3,3,2,1.1,0
AS051,33,Toronto,urban,8.97,Late,0,0,0,0,0,0,0,0,9,9,1,2.9,0
AS052,34,Toronto,urban,9.6,Late,0,0,0,0,0,0,0,0,0,0,0,11.1,0
AS052,34,Toronto,urban,9.6,Late,0,0,0,0,0,0,0,0,0,0,0,8.5,0
AS052,34,Toronto,urban,9.6,Late,0,0,0,0,0,0,0,0,1,1,1,1.1,0
AS052,34,Toronto,urban,9.6,Late,0,0,0,0,0,0,0,0,0,0,0,0.5,0
AS052,34,Toronto,urban,9.6,Late,0,0,0,0,0,0,1,0,6,7,2,2,0
AS053,35,Toronto,urban,9.85,Late,0,0,0,0,0,0,0,0,0,0,0,2.3,0
AS053,35,Toronto,urban,9.85,Late,0,0,0,0,0,0,0,0,3,3,1,9.9,0
AS053,35,Toronto,urban,9.85,Late,0,0,0,0,0,0,0,0,2,2,1,1.3,0
AS053,35,Toronto,urban,9.85,Late,0,0,0,0,0,0,0,0,0,0,0,1.1,0
AS053,35,Toronto,urban,9.85,Late,1,0,0,0,0,0,0,0,7,8,2,2.3,0
AS054,36,Toronto,urban,9.62,Late,2,0,0,0,0,0,0,0,9,11,2,4,0
AS054,36,Toronto,urban,9.62,Late,0,0,0,0,0,0,0,0,2,2,1,1.1,0
AS054,36,Toronto,urban,9.62,Late,0,0,0,0,0,0,0,0,0,0,0,1.5,0
AS054,36,Toronto,urban,9.62,Late,0,0,0,0,0,0,0,0,4,4,1,3.6,0
AS054,36,Toronto,urban,9.62,Late,0,0,0,0,0,0,0,0,0,0,0,4.6,0
AS055,37,Toronto,urban,9.83,Late,1,0,0,0,0,0,0,0,6,7,2,4.9,0
AS055,37,Toronto,urban,9.83,Late,0,0,0,0,0,0,0,0,0,0,0,0.8,0
AS055,37,Toronto,urban,9.83,Late,0,0,0,0,0,0,0,0,19,19,1,7.6,0
AS055,37,Toronto,urban,9.83,Late,0,0,0,0,0,0,0,0,0,0,0,0,0
AS055,37,Toronto,urban,9.83,Late,0,0,0,0,0,0,0,0,0,0,0,4.6,0
AS056,38,Toronto,rural,40.2,Late,1,0,0,0,0,0,0,0,0,1,1,5.2,0
AS056,38,Toronto,rural,40.2,Late,0,0,0,0,0,0,0,0,1,1,1,25.5,0
AS056,38,Toronto,rural,40.2,Late,0,0,0,0,0,0,0,0,0,0,0,6.5,0
AS056,38,Toronto,rural,40.2,Late,0,0,0,0,0,0,0,0,0,0,0,3.4,0
AS056,38,Toronto,rural,40.2,Late,0,0,0,0,0,0,0,0,0,0,0,2.9,0
AS057,39,Toronto,rural,38.18,Late,0,0,0,0,0,0,0,0,0,0,0,34.6,0
AS057,39,Toronto,rural,38.18,Late,0,0,0,0,0,0,0,0,2,2,1,16.5,0
AS057,39,Toronto,rural,38.18,Late,1,0,0,0,0,0,0,0,0,1,1,8.5,0
AS057,39,Toronto,rural,38.18,Late,0,0,0,0,0,0,0,0,0,0,0,7.8,0
AS057,39,Toronto,rural,38.18,Late,0,0,0,0,0,0,0,0,0,0,0,18.2,0
AS058,40,Toronto,rural,36.64,Late,2,0,0,0,0,0,0,0,0,2,1,42.1,0
AS058,40,Toronto,rural,36.64,Late,2,0,0,0,0,0,0,0,1,3,3,20.8,0
AS058,40,Toronto,rural,36.64,Late,1,0,0,0,0,0,0,0,0,1,1,37.5,0
AS058,40,Toronto,rural,36.64,Late,1,0,0,0,0,0,1,0,0,2,2,6.7,0
AS058,40,Toronto,rural,36.64,Late,5,0,0,0,0,0,0,0,0,5,2,29.9,0
AS059,41,Toronto,rural,36.19,Late,0,0,0,0,0,0,0,0,0,0,0,1.5,0
AS059,41,Toronto,rural,36.19,Late,0,0,0,0,0,0,0,0,1,1,1,7.5,0
AS059,41,Toronto,rural,36.19,Late,0,0,0,0,0,0,0,0,3,3,1,3.4,0
AS059,41,Toronto,rural,36.19,Late,0,0,0,0,0,0,0,0,0,0,0,0.9,0
AS059,41,Toronto,rural,36.19,Late,0,0,0,0,0,0,0,0,4,4,1,1,0
AS060,42,Toronto,urban,20.77,Late,0,1,0,0,0,0,0,0,0,1,1,6.9,0
AS060,42,Toronto,urban,20.77,Late,0,0,0,0,0,0,0,1,2,3,2,2.7,0
AS060,42,Toronto,urban,20.77,Late,0,0,0,1,0,0,0,1,0,2,2,10.3,0
AS060,42,Toronto,urban,20.77,Late,0,0,0,0,0,0,0,0,1,1,1,6.6,0
AS060,42,Toronto,urban,20.77,Late,0,0,0,2,0,0,2,0,0,4,2,13.9,0
AS062,43,Toronto,urban,19.51,Late,0,0,0,0,0,0,0,0,0,0,0,4.6,0
AS062,43,Toronto,urban,19.51,Late,0,0,0,0,0,0,0,0,1,1,1,2.5,0
AS062,43,Toronto,urban,19.51,Late,0,0,0,0,0,0,1,0,2,3,2,3.5,0
AS062,43,Toronto,urban,19.51,Late,0,0,0,0,0,0,0,0,3,3,1,8,0
AS062,43,Toronto,urban,19.51,Late,0,0,0,0,0,0,0,0,2,2,1,1.7,0
AS063,43,Toronto,urban,19,Late,0,0,0,0,0,0,0,0,0,0,0,20.6,0
AS063,43,Toronto,urban,19,Late,0,0,0,0,0,0,0,0,0,0,0,9.5,0
AS063,43,Toronto,urban,19,Late,0,0,0,0,0,0,0,0,0,0,0,2.8,0
AS063,43,Toronto,urban,19,Late,0,0,0,0,0,0,0,0,0,0,0,12,0
AS063,43,Toronto,urban,19,Late,0,0,0,0,0,0,0,0,0,0,0,4,0
AS064,44,Toronto,urban,2.29,Late,0,0,0,0,0,0,0,0,1,1,2,0.3,0
AS064,44,Toronto,urban,2.29,Late,1,0,0,0,0,0,0,0,0,1,2,0.1,0
AS064,44,Toronto,urban,2.29,Late,0,0,0,0,0,0,0,0,4,4,2,5.4,0
AS064,44,Toronto,urban,2.29,Late,0,0,0,0,0,0,0,0,0,0,1,0,0
AS064,44,Toronto,urban,2.29,Late,0,0,0,0,0,0,0,0,3,3,2,1.3,0
AS066,46,Toronto,urban,3.36,Late,0,0,0,0,0,0,0,0,4,4,1,1.4,0
AS066,46,Toronto,urban,3.36,Late,2,0,0,0,0,0,0,0,0,2,1,0.3,0
AS066,46,Toronto,urban,3.36,Late,0,0,0,0,0,0,0,0,0,0,0,0.2,0
AS066,46,Toronto,urban,3.36,Late,0,0,0,0,0,0,0,0,0,0,0,6.2,0
AS066,46,Toronto,urban,3.36,Late,0,0,0,0,0,0,0,0,0,0,0,0.9,0
AS067,47,Toronto,urban,2.99,Late,0,0,0,0,0,0,0,0,5,5,1,0.7,0
AS067,47,Toronto,urban,2.99,Late,1,0,0,0,0,0,0,0,6,7,2,1.3,0
AS067,47,Toronto,urban,2.99,Late,0,0,0,0,0,0,0,0,3,3,1,9.1,0
AS067,47,Toronto,urban,2.99,Late,0,0,0,0,0,0,0,0,3,3,1,0.7,0
AS067,47,Toronto,urban,2.99,Late,0,0,0,0,0,0,0,0,8,8,1,2.8,0
AS069,48,Toronto,urban,3.72,Late,0,0,0,0,0,0,0,0,0,0,0,2.2,0
AS069,48,Toronto,urban,3.72,Late,0,0,0,0,0,0,4,0,2,6,2,2.5,0
AS069,48,Toronto,urban,3.72,Late,0,0,0,0,0,0,0,0,1,1,1,2.4,0
AS069,48,Toronto,urban,3.72,Late,0,0,0,0,0,0,0,0,1,1,1,1.4,0
AS069,48,Toronto,urban,3.72,Late,0,0,0,0,0,0,0,0,0,0,0,2,0
AS070,49,Toronto,urban,4.17,Late,0,0,0,0,0,0,0,0,0,0,0,1.2,0
AS070,49,Toronto,urban,4.17,Late,0,0,0,0,0,0,0,0,0,0,0,1.6,0
AS070,49,Toronto,urban,4.17,Late,1,0,0,0,0,0,1,0,0,2,3,0.7,0
AS070,49,Toronto,urban,4.17,Late,0,0,0,0,0,0,0,0,0,0,0,3.1,0
AS070,49,Toronto,urban,4.17,Late,1,0,0,0,0,0,0,0,5,6,2,3,0
AS072,51,Toronto,urban,5.17,Late,1,0,0,0,0,0,0,0,7,8,2,2,0
AS072,51,Toronto,urban,5.17,Late,0,0,0,0,0,0,0,0,2,2,1,2.2,0
AS072,51,Toronto,urban,5.17,Late,0,0,0,0,0,0,0,0,15,15,1,3.2,0
AS072,51,Toronto,urban,5.17,Late,0,0,0,0,0,0,0,0,2,2,1,8.7,0
AS072,51,Toronto,urban,5.17,Late,1,0,0,0,0,0,1,0,0,2,3,1.6,0
AS073,52,Toronto,urban,10.15,Late,0,0,0,0,0,0,0,0,4,4,1,12.8,0
AS073,52,Toronto,urban,10.15,Late,0,0,0,0,0,0,0,0,5,5,2,13.6,0
AS073,52,Toronto,urban,10.15,Late,0,0,0,0,0,0,0,0,3,3,1,8.6,0
AS073,52,Toronto,urban,10.15,Late,0,0,0,0,0,0,0,0,0,0,1,3.4,0
AS073,52,Toronto,urban,10.15,Late,1,0,0,0,0,0,0,0,4,5,2,8.2,0
AS074,53,Toronto,urban,11.33,Late,0,0,0,0,0,0,0,0,15,15,1,4,0
AS074,53,Toronto,urban,11.33,Late,0,0,0,0,0,0,0,0,1,1,1,3,0
AS074,53,Toronto,urban,11.33,Late,0,0,0,0,0,0,0,0,1,1,1,7.9,0
AS074,53,Toronto,urban,11.33,Late,0,0,0,0,0,0,0,0,0,0,0,1.2,0
AS074,53,Toronto,urban,11.33,Late,0,0,0,0,0,0,0,0,0,0,0,2.6,0
AS075,54,Toronto,urban,11.85,Late,0,0,0,0,0,0,0,0,1,1,1,0.6,0
AS075,54,Toronto,urban,11.85,Late,0,0,0,0,0,0,0,0,2,2,1,2.2,0
AS075,54,Toronto,urban,11.85,Late,0,0,0,0,0,0,0,0,0,0,0,5.3,0
AS075,54,Toronto,urban,11.85,Late,0,0,0,0,0,0,0,0,3,3,1,3.8,0
AS075,54,Toronto,urban,11.85,Late,0,0,0,0,0,0,0,0,0,0,0,1.1,0
AS076,55,Toronto,urban,12.78,Late,1,0,0,0,0,0,0,0,3,4,2,2.2,0
AS076,55,Toronto,urban,12.78,Late,0,0,0,0,0,0,0,0,1,1,1,1,0
AS076,55,Toronto,urban,12.78,Late,0,0,0,0,0,0,0,0,6,6,1,2.2,0
AS076,55,Toronto,urban,12.78,Late,0,0,0,0,0,0,0,0,6,6,1,1.3,0
AS076,55,Toronto,urban,12.78,Late,0,0,0,0,0,0,0,0,2,2,1,1.6,0
AS077,56,Toronto,urban,13.69,Late,0,0,0,0,0,0,0,0,1,1,1,4.1,0
AS077,56,Toronto,urban,13.69,Late,0,0,0,0,0,0,0,0,2,2,1,7.4,0
AS077,56,Toronto,urban,13.69,Late,0,0,0,0,0,0,0,0,0,0,0,2.1,0
AS077,56,Toronto,urban,13.69,Late,0,0,0,0,0,0,0,0,1,1,1,4.3,0
AS077,56,Toronto,urban,13.69,Late,0,0,0,0,0,0,0,0,7,7,1,0.8,0
AS079,57,Toronto,urban,16.25,Late,0,0,0,0,0,0,0,0,7,7,1,8.9,0
AS079,57,Toronto,urban,16.25,Late,0,0,0,0,0,0,0,0,0,0,0,1.7,0
AS079,57,Toronto,urban,16.25,Late,0,0,0,0,0,0,1,0,0,1,1,1.2,0
AS079,57,Toronto,urban,16.25,Late,0,0,0,0,0,0,0,0,0,0,0,1.3,0
AS079,57,Toronto,urban,16.25,Late,0,0,0,0,0,0,0,0,0,0,0,2.3,0
AS080,58,Toronto,urban,16.52,Late,0,0,0,0,0,0,0,0,21,21,1,5.5,0
AS080,58,Toronto,urban,16.52,Late,0,0,0,0,0,0,0,0,12,12,1,2.5,0
AS080,58,Toronto,urban,16.52,Late,0,0,0,0,0,0,0,0,3,3,1,0.4,0
AS080,58,Toronto,urban,16.52,Late,0,0,0,0,0,0,0,0,1,1,1,0.6,0
AS080,58,Toronto,urban,16.52,Late,1,0,0,0,0,0,0,0,3,4,2,3.4,0
AS081,59,Toronto,urban,17.45,Late,0,0,0,0,0,0,0,0,0,0,0,2.9,0
AS081,59,Toronto,urban,17.45,Late,0,0,0,0,0,0,0,0,1,1,2,8.8,0
AS081,59,Toronto,urban,17.45,Late,1,0,0,0,0,0,1,0,0,2,2,4,0
AS081,59,Toronto,urban,17.45,Late,2,0,0,0,0,0,0,0,1,3,2,2.7,0
AS081,59,Toronto,urban,17.45,Late,0,0,0,0,0,0,0,0,0,0,0,13.5,0
AS082,60,Toronto,urban,17.45,Late,0,0,0,0,0,0,0,0,0,0,0,0.7,0
AS082,60,Toronto,urban,17.45,Late,0,0,0,0,0,0,0,0,0,0,0,2.3,0
AS082,60,Toronto,urban,17.45,Late,0,0,0,0,0,0,0,0,4,4,1,3.5,0
AS082,60,Toronto,urban,17.45,Late,0,0,0,0,0,0,0,0,0,0,0,4.5,0
